oa_code_2021,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_94,age_95_99,age_100_plus
S00135534,2,5,6,8,2,6,10,7,11,9,13,12,16,4,4,2,0,0,1,0,0
S00135535,13,9,14,8,4,1,16,13,15,9,7,9,7,8,13,16,18,23,17,7,0
S00135536,23,30,11,14,2,11,11,28,29,12,8,7,4,1,0,0,1,0,0,0,0
S00135537,6,2,7,4,4,5,1,5,6,11,6,14,17,16,14,8,5,4,0,0,0
S00135538,0,4,4,9,1,1,1,3,5,3,9,6,10,10,6,12,11,6,2,0,0
S00135539,0,3,5,6,6,8,3,6,2,7,3,3,6,3,7,4,4,3,3,1,0
S00135540,1,9,5,3,7,4,5,9,9,9,8,8,14,9,7,6,11,6,4,0,0
S00135541,0,0,3,1,2,3,4,2,2,3,5,9,11,17,9,4,6,4,0,0,0
S00135542,26,26,10,3,14,31,34,21,13,9,4,5,0,2,0,0,0,0,0,0,0
S00135543,29,17,4,11,5,29,26,33,17,11,0,0,2,1,1,0,0,0,0,0,0
S00135544,3,4,8,4,7,0,2,5,5,7,14,5,3,10,7,6,2,4,4,0,0
S00135545,1,1,4,4,5,11,3,12,11,6,12,6,19,7,13,15,1,2,0,0,0
S00135546,2,6,5,4,3,2,7,5,4,5,5,8,12,11,7,2,3,5,1,0,0
S00135547,15,19,7,13,3,9,10,25,12,5,19,7,12,15,5,7,3,2,0,0,0
S00135548,6,5,6,3,2,2,5,6,5,2,7,9,1,4,9,10,2,2,0,0,0
S00135549,2,4,4,2,2,2,0,3,3,1,5,9,2,5,8,4,0,1,0,0,0
S00135550,6,9,10,3,14,8,4,8,8,7,11,5,7,8,9,0,2,2,2,0,0
S00135551,7,10,7,4,3,17,9,9,9,10,12,10,9,5,3,1,4,1,0,0,0
S00135552,10,13,7,0,21,33,19,12,3,4,6,0,1,4,1,1,0,0,0,0,0
S00135553,8,11,17,9,8,6,9,13,8,16,19,15,16,16,25,6,5,6,0,0,0
S00135554,3,5,8,3,1,3,2,9,5,6,2,7,5,7,7,8,2,2,0,0,0
S00135555,7,4,11,6,12,8,12,11,6,8,8,20,18,16,14,4,3,1,1,0,0
S00135556,1,0,0,3,11,21,15,7,3,3,9,13,4,2,1,6,0,2,0,0,0
S00135557,10,7,2,0,0,4,6,8,7,0,1,7,9,8,5,6,2,4,0,0,0
S00135558,9,7,9,8,6,8,12,9,8,7,14,11,12,14,11,4,2,0,0,0,0
S00135559,5,5,1,2,11,8,22,6,4,7,4,12,2,11,2,2,1,1,0,0,0
S00135560,7,4,1,5,2,6,13,2,13,3,8,13,6,5,3,4,4,5,4,0,0
S00135561,6,2,11,11,4,2,7,4,7,13,8,4,4,0,2,3,7,2,0,0,0
S00135562,4,3,7,7,3,6,8,10,7,11,9,5,3,5,5,2,0,3,0,0,1
S00135563,5,8,3,0,6,13,7,7,2,1,2,3,2,1,0,1,0,0,0,0,0
S00135564,2,2,3,5,2,2,3,2,6,8,12,8,6,5,6,15,10,3,0,0,0
S00135565,4,5,2,2,0,6,1,7,5,3,2,5,9,6,7,1,5,6,1,0,0
S00135566,3,4,2,10,2,4,8,2,7,3,2,10,9,12,10,1,1,4,0,0,0
S00135567,8,10,9,3,5,2,4,14,10,6,3,9,7,9,6,3,6,3,1,0,0
S00135568,10,7,2,10,3,22,12,15,9,6,11,8,10,8,9,5,11,2,0,0,0
S00135569,6,3,2,10,5,5,0,6,4,11,10,14,7,7,5,2,2,4,2,0,0
S00135570,0,5,3,2,6,1,3,3,3,8,3,8,6,19,11,5,12,0,5,0,0
S00135571,10,5,4,6,7,5,8,9,9,10,8,11,5,14,1,2,0,1,0,0,0
S00135572,5,6,7,8,5,3,7,8,3,1,4,7,11,7,14,8,4,4,1,1,0
S00135573,4,9,5,5,4,4,4,10,4,4,11,8,10,8,2,6,5,0,0,0,0
S00135574,6,13,8,4,4,2,7,8,4,7,2,7,6,3,4,5,7,5,0,0,0
