oa_code_2021,white_total,asian_asian_scottish_or_asian_british_total,african_total,caribbean_or_black_total,other_ethnic_groups_total
S00135658,77,3,4,0,0
S00135659,118,8,3,1,2
S00135660,90,7,7,0,3
S00135661,61,0,5,0,0
S00135662,111,3,5,0,0
S00135663,104,0,5,0,6
S00135664,151,11,8,0,0
S00135665,102,0,0,0,0
S00135666,80,0,5,4,0
S00135667,144,6,5,0,4
S00135668,125,10,6,0,0
S00135669,133,2,0,0,1
S00135670,149,3,2,0,1
S00135671,80,0,4,0,0
S00135672,82,11,1,0,7
S00135673,82,5,0,0,0
S00135674,96,0,0,0,0
S00135675,107,25,10,0,2
S00135676,66,3,6,0,0
S00135677,62,2,8,0,2
S00135678,89,5,2,1,1
S00135679,63,11,0,0,0
S00135680,95,7,4,0,7
S00135681,109,1,6,0,1
S00135682,87,0,0,0,0
S00135683,78,12,5,0,6
S00135684,64,6,0,0,0
S00135685,140,0,1,3,0
S00135686,98,1,1,0,1
S00135687,100,2,13,1,0
S00135688,124,0,0,0,0
S00135689,94,2,0,1,0
S00135690,108,6,0,0,2
S00135691,113,1,0,0,4
S00135692,69,2,0,0,2
S00135693,102,2,4,0,0
S00135694,86,2,0,0,2
S00135695,70,5,0,0,0
S00135696,41,13,3,0,2
S00135697,79,21,16,0,5
S00135698,132,4,0,2,1
S00135699,140,1,10,0,1
S00135700,61,0,2,0,0
S00135701,78,9,7,0,0
S00135702,106,0,1,1,0
S00135703,54,9,3,0,0
S00135704,61,0,0,0,2
S00135705,93,4,1,0,1
S00135706,106,14,4,0,22
S00135707,55,0,2,1,1
S00135708,111,11,2,1,0
S00135709,121,1,0,0,0
S00135710,67,0,2,0,1
S00135711,69,4,7,1,5
S00135712,117,4,10,0,0
S00135713,75,3,0,0,4
S00135714,113,2,2,0,0
S00135715,102,2,10,0,0
S00135716,115,4,0,0,1
S00135717,93,6,3,0,3
S00135718,57,6,5,0,4
S00135719,170,1,6,0,0
S00135720,199,1,4,0,0
S00135721,151,1,8,0,0
S00135722,71,1,3,0,0
S00135723,66,11,0,0,0
S00135724,81,4,0,0,0
S00135725,111,6,1,0,8
S00135726,155,9,1,0,0
S00135727,102,16,8,0,2
S00135728,95,0,5,0,1
S00135729,94,0,0,0,0
S00135730,94,3,5,0,0
S00135731,79,7,0,0,2
S00135732,94,0,3,0,0
S00135733,79,2,3,0,0
S00135734,140,9,35,0,5
S00135735,90,6,8,0,2
S00135736,79,0,0,0,1
S00135737,77,0,9,0,1
S00135738,169,6,10,0,2
S00135739,102,9,2,0,0
S00135740,82,4,12,0,0
S00135741,65,0,2,2,0
S00135742,87,7,4,0,0
S00135743,90,0,8,0,2
S00135744,97,1,0,0,0
S00135745,104,7,5,0,0
S00135746,63,1,1,0,0
S00135747,90,0,0,0,0
S00135748,102,12,0,0,0
