oa_code_2021,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,pagan,other_religion,no_religion,religion_not_stated
S00135595,22,7,3,0,0,0,2,0,0,0,104,8
S00135596,27,24,12,0,1,0,9,0,1,0,96,41
S00135597,22,13,4,0,0,0,0,1,0,0,86,7
S00135598,22,3,15,0,0,0,8,0,1,0,46,1
S00135599,10,12,9,0,4,0,5,0,0,0,90,3
S00135600,29,4,0,0,0,0,0,0,0,0,22,5
S00135601,1,9,22,0,3,0,6,0,1,0,92,6
S00135602,9,15,18,0,0,0,1,0,1,2,76,4
S00135603,17,0,0,0,0,0,0,0,0,0,62,2
S00135604,6,10,7,0,0,0,0,0,0,0,61,0
S00135605,9,4,1,0,1,0,0,0,0,0,62,6
S00135606,30,23,22,1,3,0,17,0,0,0,153,35
S00135607,83,213,201,6,43,0,69,4,16,1,973,107
S00135608,24,6,0,0,0,0,0,0,0,3,61,4
S00135609,11,20,10,0,0,0,0,0,0,0,56,12
S00135610,29,8,7,0,1,0,0,0,0,1,98,13
S00135611,21,1,2,0,0,0,0,0,0,0,63,3
S00135612,0,10,17,2,2,0,11,0,0,0,110,2
S00135613,17,10,15,1,1,0,5,0,0,0,68,4
S00135614,21,4,2,0,0,0,0,0,1,0,76,6
S00135615,15,10,5,0,0,0,6,0,0,0,125,5
S00135616,6,15,1,2,0,0,0,0,0,0,45,3
S00135617,15,9,15,1,5,0,3,0,0,0,53,8
S00135618,24,4,12,1,0,0,0,0,0,0,30,4
S00135619,7,7,6,0,0,0,1,0,0,0,40,4
S00135620,12,5,2,0,0,0,0,0,0,0,106,6
S00135621,24,15,6,0,1,0,0,0,0,0,82,9
S00135622,12,14,6,2,4,0,0,0,0,0,42,9
S00135623,19,2,10,0,0,0,0,0,2,2,92,3
S00135624,18,13,5,0,0,0,0,0,0,0,56,2
S00135625,26,10,5,1,7,0,25,0,0,0,49,9
S00135626,1,6,20,0,2,0,2,0,1,0,29,3
S00135627,16,8,5,0,0,0,0,0,2,0,101,2
S00135628,28,7,11,0,0,1,0,1,1,0,97,8
S00135629,13,19,26,0,1,0,11,0,1,0,92,9
S00135630,17,12,1,0,3,0,0,0,0,1,71,8
S00135631,7,9,8,0,0,0,0,0,0,0,139,6
S00135632,12,51,15,0,1,0,2,0,0,5,63,18
S00135633,12,1,5,0,4,0,0,0,0,0,33,10
S00135634,7,6,4,0,0,0,0,0,1,1,56,0
S00135635,9,9,6,0,1,0,0,0,0,2,92,1
S00135636,17,7,6,0,0,0,6,0,0,0,56,6
S00135637,25,18,0,0,1,0,0,0,0,0,76,9
S00135638,14,4,9,0,0,0,8,0,0,0,37,6
S00135639,6,13,2,0,0,1,0,0,0,0,44,6
S00135640,19,7,1,0,0,0,0,0,0,0,96,8
S00135641,24,4,6,0,0,0,0,0,0,2,53,6
S00135642,11,37,26,2,0,0,1,0,0,1,92,16
S00135643,12,16,8,0,0,0,0,0,0,0,55,5
S00135644,27,0,3,0,0,0,3,0,0,0,36,4
S00135645,21,4,0,0,0,0,0,0,0,0,55,2
S00135646,22,0,0,0,0,0,0,0,0,0,45,5
S00135647,29,13,2,0,0,0,0,0,0,0,98,11
S00135648,3,41,5,0,0,0,2,0,0,0,55,12
S00135649,3,24,5,1,0,0,6,0,1,0,40,6
S00135650,11,18,2,2,1,0,0,0,0,4,60,13
S00135651,11,7,2,1,0,0,4,0,0,1,77,12
S00135652,14,0,6,0,0,1,0,0,2,0,55,4
S00135653,0,15,16,1,0,0,3,0,0,0,46,2
S00135654,3,20,5,0,0,0,2,0,0,2,40,1
S00135655,19,12,8,0,3,0,4,0,0,0,54,10
S00135656,11,36,5,0,0,0,0,1,0,1,44,7
S00135657,14,20,5,0,0,0,0,0,2,1,74,4
S00135658,5,13,9,0,0,0,0,0,0,0,56,3
S00135659,9,44,10,0,1,0,7,0,1,2,51,8
S00135660,6,26,12,1,0,0,9,0,2,0,53,7
S00135661,4,6,7,0,0,0,0,0,0,0,45,2
S00135662,24,11,4,0,0,0,5,0,0,1,73,1
S00135663,42,6,14,0,0,0,0,0,0,0,53,2
S00135664,5,37,14,4,0,0,14,0,0,2,90,11
S00135665,21,10,2,0,0,0,0,0,1,0,64,3
S00135666,21,0,6,0,0,0,0,0,0,0,58,5
S00135667,10,22,6,0,1,0,8,0,1,0,106,11
S00135668,6,32,13,0,3,0,0,0,0,0,77,8
S00135669,7,24,15,0,0,0,1,0,0,0,80,10
S00135670,8,31,11,2,0,0,1,0,0,0,94,9
S00135671,26,7,3,0,0,0,0,0,1,0,51,0
S00135672,6,20,9,0,0,0,0,0,0,4,51,15
S00135673,16,4,5,1,0,0,0,0,0,0,53,6
S00135674,17,5,13,0,0,0,0,0,1,0,53,7
S00135675,17,5,12,0,0,0,22,0,1,0,78,12
S00135676,9,3,6,3,0,0,0,0,0,2,48,4
S00135677,4,11,13,0,0,0,1,0,0,0,49,3
S00135678,13,10,8,1,2,0,2,0,0,0,60,13
S00135679,9,12,7,0,0,0,13,0,0,0,37,1
S00135680,9,22,3,0,0,0,7,0,0,0,71,2
S00135681,9,22,18,0,0,0,0,0,0,0,69,6
S00135682,15,4,0,0,0,0,0,0,0,0,68,0
S00135683,11,32,12,0,0,0,1,0,0,0,38,5
S00135684,10,14,7,0,0,0,2,0,1,1,33,2
S00135685,13,22,6,0,0,0,0,0,0,0,89,14
S00135686,39,9,10,0,0,0,0,0,0,0,41,10
S00135687,4,8,25,0,0,0,0,0,3,0,69,14
S00135688,20,2,3,0,0,0,0,0,0,1,87,11
S00135689,4,31,2,1,2,0,0,0,1,3,45,7
S00135690,13,9,2,0,0,0,0,0,4,0,76,11
S00135691,4,35,10,0,0,0,1,0,0,1,61,4
S00135692,6,8,3,0,0,0,0,0,0,2,53,0
S00135693,16,14,9,0,0,0,0,0,0,0,63,4
S00135694,22,0,0,0,0,0,0,0,0,0,64,5
S00135695,14,0,5,1,0,0,2,0,0,0,49,2
S00135696,2,7,10,1,5,0,4,0,0,0,35,0
S00135697,8,16,17,1,3,0,13,5,0,1,50,6
S00135698,5,24,9,1,0,0,6,0,0,2,76,13
S00135699,11,19,10,0,0,0,0,0,0,1,104,1
S00135700,0,18,2,0,0,0,0,0,2,0,43,1
S00135701,10,10,5,0,6,0,8,0,0,0,56,2
S00135702,20,11,1,0,0,0,0,0,0,1,68,6
S00135703,7,7,0,1,0,0,6,0,0,2,42,10
S00135704,1,6,8,0,0,0,2,0,1,0,40,5
S00135705,3,19,10,0,0,0,4,0,0,0,51,10
S00135706,4,24,10,0,0,0,35,0,0,0,73,4
S00135707,8,9,3,0,0,0,2,0,0,0,47,0
S00135708,13,20,5,0,3,0,3,1,0,0,61,20
S00135709,11,21,9,0,0,0,1,0,1,0,77,2
S00135710,5,19,3,0,0,0,0,0,1,0,43,0
S00135711,9,14,6,0,0,0,2,0,0,1,37,14
S00135712,7,25,14,0,1,0,3,0,1,0,69,13
S00135713,3,9,7,2,0,0,1,0,0,0,55,7
S00135714,13,7,9,0,2,0,1,0,0,0,80,9
S00135715,23,8,13,1,0,0,2,0,0,0,66,4
S00135716,21,8,6,1,0,0,5,0,0,0,71,9
S00135717,11,8,14,0,0,0,6,0,2,2,59,8
S00135718,12,2,6,0,4,0,4,0,0,0,43,0
S00135719,17,38,7,0,0,0,0,1,0,1,102,12
S00135720,22,27,4,0,0,0,0,0,0,0,138,12
S00135721,18,9,19,0,0,0,0,0,0,0,107,2
S00135722,6,17,5,0,0,0,0,0,0,0,38,8
S00135723,16,3,17,0,0,0,0,2,1,0,32,6
S00135724,9,8,5,0,0,0,0,0,1,0,61,2
S00135725,6,20,0,0,0,0,9,0,0,0,82,10
S00135726,6,32,4,0,0,0,13,0,0,0,104,10
S00135727,10,29,18,1,4,0,9,0,3,5,40,10
S00135728,16,11,2,0,0,0,0,0,2,0,67,4
S00135729,21,9,8,0,0,0,0,0,1,0,52,5
S00135730,17,16,15,0,0,0,0,0,1,0,56,3
S00135731,17,0,4,1,7,1,2,0,0,0,53,4
S00135732,9,4,6,0,0,0,1,0,0,0,69,9
S00135733,7,21,11,0,1,0,0,0,1,0,42,0
S00135734,17,26,32,0,7,0,6,0,3,1,89,12
S00135735,14,4,9,4,2,0,2,0,0,2,58,8
S00135736,12,6,8,0,0,0,0,0,2,0,42,9
S00135737,6,14,8,1,0,0,0,0,0,1,42,15
S00135738,5,10,9,0,3,4,4,0,0,1,137,9
S00135739,2,24,8,2,0,0,11,0,1,0,64,6
S00135740,7,10,15,0,0,0,0,0,0,0,56,6
S00135741,11,4,2,0,0,1,0,0,0,0,52,1
S00135742,16,0,8,0,0,0,7,0,0,0,60,3
S00135743,5,22,4,0,0,0,2,0,0,0,64,2
S00135744,12,15,1,0,0,0,0,0,0,0,69,1
S00135745,9,21,14,0,4,0,0,0,0,2,65,7
S00135746,6,1,4,0,0,0,0,0,0,0,49,3
S00135747,13,11,2,0,0,0,0,0,0,0,56,5
S00135748,13,14,1,3,0,0,0,2,0,2,80,6
S00135749,9,8,3,0,0,0,2,0,2,1,31,8
S00135750,10,12,16,0,0,0,0,0,2,0,58,4
S00135751,14,17,10,0,0,0,0,0,3,0,68,8
S00135752,0,19,2,0,0,0,4,0,0,1,55,5
S00135753,4,6,10,0,3,0,0,0,1,1,59,10
S00135754,12,6,4,0,0,0,2,0,0,0,80,16
S00135755,1,78,5,3,0,0,14,0,0,0,61,8
S00135756,9,15,4,1,0,0,3,0,4,0,50,2
S00135757,17,20,4,0,0,1,2,0,0,0,59,5
S00135758,13,3,11,0,0,0,0,0,0,0,73,7
S00135759,3,8,3,0,0,0,5,0,0,0,62,3
S00135760,3,30,0,2,0,0,1,0,1,0,31,3
S00135761,3,15,12,0,0,0,0,0,0,0,80,2
S00135762,15,19,8,0,0,0,0,0,1,0,63,4
S00135763,17,3,9,1,0,0,0,2,0,0,46,6
S00135764,10,26,1,0,0,0,0,0,1,0,62,1
S00135765,0,37,6,0,6,1,4,0,0,1,76,10
S00135766,16,13,15,0,0,0,12,0,0,0,43,2
S00135767,7,12,2,0,0,0,0,0,0,0,98,14
S00135768,12,19,7,0,0,0,0,0,0,0,165,13
S00135769,14,5,1,0,13,0,0,0,0,0,86,12
S00135770,4,21,9,0,0,0,2,0,6,0,55,14
S00135771,7,19,8,2,0,0,3,0,0,4,63,12
S00135772,21,23,0,0,0,0,0,0,0,0,134,7
S00135773,3,28,15,0,0,0,0,0,1,0,121,4
S00135774,10,4,4,0,2,0,5,0,1,0,45,9
S00135775,6,37,5,0,0,0,0,0,1,0,135,6
S00135776,7,4,11,0,2,0,7,0,2,1,50,13
