oa_code,one_person_household_aged_65_and_over,one_person_household_aged_under_65,one_family_only_all_aged_65_and_over,one_family_only_married_or_same_sex_civil_partnership_couple_no_children,one_family_only_married_or_same_sex_civil_partnership_couple_with_dependent_children,one_family_only_married_or_same_sex_civil_partnership_couple_all_children_non_dependent,one_family_only_cohabiting_couple_no_children,one_family_only_cohabiting_couple_with_dependent_children,one_family_only_cohabiting_couple_all_children_non_dependent,one_family_only_lone_parent_with_dependent_children,one_family_only_lone_parent_all_children_non_dependent,other_households_with_dependent_children,other_households_all_full_time_students,other_households_all_aged_65_and_over,other_households_other
S00089171,10,11,5,0,2,1,0,1,2,1,6,0,0,0,2
S00089172,3,7,2,2,2,0,3,2,0,5,3,0,0,1,1
S00089173,6,10,3,12,3,6,1,6,2,5,5,2,0,0,1
S00089174,10,12,6,4,10,3,5,5,3,5,5,1,0,0,2
S00089175,8,18,4,2,4,3,3,2,0,11,6,1,1,0,1
S00089176,3,9,1,5,6,3,3,4,1,3,1,0,0,0,3
S00089177,13,15,1,5,7,2,5,3,1,10,3,0,0,0,2
S00089178,14,7,6,10,8,5,2,5,0,4,4,0,0,0,1
S00089179,13,10,4,11,8,7,3,6,0,8,6,0,0,0,1
S00089180,15,5,3,8,2,7,3,1,1,5,6,2,0,0,2
S00089181,7,9,7,1,5,3,3,1,0,3,4,1,0,0,1
S00089182,5,6,0,3,8,5,2,4,0,2,3,1,0,0,4
S00089183,6,6,3,5,9,1,1,4,0,4,2,0,0,0,0
S00089184,2,5,4,7,21,2,2,1,0,1,1,0,0,0,0
S00089185,10,3,6,12,16,4,0,1,0,0,1,0,0,0,2
S00089186,4,15,1,5,10,1,4,3,0,0,2,2,2,0,2
S00089187,12,6,0,5,2,0,6,0,1,0,0,1,0,0,5
S00089188,9,16,5,11,11,4,6,1,0,2,1,0,0,2,2
S00089189,11,16,6,9,12,3,7,3,0,1,0,1,0,0,3
S00089190,3,24,2,8,5,4,3,0,0,2,2,0,0,0,6
S00089191,4,28,2,7,9,2,7,1,0,0,1,1,2,0,8
S00089192,4,29,0,9,7,0,7,1,0,2,1,0,0,0,5
S00089193,0,35,2,13,8,1,6,1,1,0,3,0,2,0,4
S00089194,7,18,7,18,9,0,2,1,0,1,1,0,0,0,1
S00089195,3,9,5,8,14,6,1,1,0,1,2,0,0,0,1
S00089196,8,14,2,5,11,7,5,0,0,0,1,0,0,0,0
S00089197,5,9,6,9,9,5,4,2,0,3,0,0,0,0,0
S00089198,11,22,3,6,2,3,3,0,0,0,0,0,0,0,4
S00089199,0,6,1,5,8,1,1,2,0,1,0,0,1,0,0
S00089200,6,8,1,7,7,1,0,1,0,2,0,0,0,0,1
S00089201,6,7,5,6,10,3,0,0,0,4,1,0,1,0,0
S00089202,3,18,10,6,11,3,9,2,0,1,3,1,1,0,4
S00089203,3,13,6,3,22,4,9,4,0,5,3,0,0,0,3
S00089204,2,5,4,8,21,2,2,2,0,2,2,0,0,0,2
S00089205,3,10,6,7,10,3,5,1,0,2,1,0,2,0,2
S00089206,9,6,4,8,13,3,1,2,0,1,2,0,1,0,1
S00089207,6,6,2,6,13,0,1,4,0,0,0,1,0,0,1
S00089208,0,33,1,1,0,0,4,2,0,1,1,1,2,0,5
S00089209,1,17,0,5,2,1,8,3,0,0,0,0,2,0,2
S00089210,1,31,0,1,1,0,9,0,0,0,1,0,2,0,6
S00089211,1,30,1,2,0,0,5,0,0,2,0,0,1,0,7
S00089212,2,29,0,3,4,0,8,0,0,0,2,0,7,0,7
S00089213,0,24,0,1,2,0,8,2,0,0,0,0,3,0,3
S00089214,1,24,0,5,1,1,4,0,0,0,1,0,1,0,3
S00089215,1,21,1,3,3,0,3,0,0,3,1,0,1,0,2
S00089216,2,44,0,2,2,0,9,1,0,1,0,0,3,0,4
S00089217,2,32,1,3,4,0,5,0,0,0,0,0,2,0,3
S00089218,1,51,0,3,4,2,11,1,0,1,1,0,5,0,4
S00089219,2,35,0,1,5,0,6,0,0,0,0,1,4,0,1
S00089220,0,21,0,4,1,0,7,0,0,0,1,0,2,0,3
S00089221,8,35,1,7,6,2,8,1,0,1,0,0,2,0,10
S00089222,2,19,0,4,4,0,8,0,0,1,0,0,2,0,10
S00089223,5,25,3,3,1,0,4,1,0,1,0,0,2,0,3
S00089224,3,23,2,11,9,1,6,0,0,5,2,0,1,0,4
S00089225,1,26,0,3,2,0,4,0,0,1,0,0,0,0,4
S00089226,2,23,0,1,3,0,5,0,0,1,0,0,1,0,2
S00089227,5,44,1,3,2,2,11,0,0,1,3,0,2,0,10
S00089228,1,11,3,5,10,1,4,1,0,2,0,0,1,0,2
S00089229,5,19,0,6,7,2,7,0,0,0,1,1,2,0,1
S00089230,7,17,2,2,4,2,10,0,0,2,1,0,1,0,4
S00089231,4,32,1,3,3,0,8,0,0,2,0,0,1,0,5
S00089232,2,16,2,6,7,0,6,2,0,2,0,0,0,1,3
S00089233,1,4,2,9,11,2,1,0,0,0,1,0,0,0,0
S00089234,5,9,2,9,10,0,5,2,0,1,0,0,0,0,1
S00089235,3,41,0,7,2,1,7,0,0,1,0,1,4,0,2
S00089236,4,35,0,3,3,0,11,0,0,0,0,0,1,0,1
S00089237,7,8,5,10,12,2,3,2,0,0,2,0,1,0,1
S00089238,5,9,8,12,10,5,4,2,0,1,1,0,0,1,1
S00089239,3,6,4,11,10,2,1,3,1,0,0,0,0,0,1
S00089240,7,9,8,12,20,2,8,2,0,1,1,3,0,0,0
S00089241,9,0,4,8,5,1,1,0,0,0,0,0,0,0,2
S00089242,6,8,5,7,13,4,3,1,0,0,2,1,1,0,0
S00089243,6,8,9,8,8,8,1,0,0,3,0,0,0,0,0
S00089244,11,7,6,15,10,2,1,1,0,2,0,0,0,0,1
S00089245,7,12,7,4,4,3,2,0,0,1,3,0,0,2,0
S00089246,4,0,6,9,9,1,0,3,0,1,0,0,3,0,1
S00089247,9,13,16,6,10,3,8,0,0,4,1,3,1,1,1
S00089248,11,24,3,10,16,7,7,1,0,0,3,2,6,0,1
S00089249,0,11,5,5,14,2,4,1,0,0,0,0,0,0,1
S00089250,3,11,1,2,9,1,3,1,0,0,2,1,0,0,2
S00089251,3,10,3,4,8,1,2,1,1,1,1,1,3,0,3
S00089252,1,6,4,7,18,2,3,1,0,1,1,0,0,0,0
S00089253,7,12,4,10,7,1,5,2,0,3,5,2,1,0,1
S00089254,5,9,7,6,18,2,6,2,0,1,0,0,0,0,0
S00089255,3,12,4,6,10,3,8,1,0,0,4,0,1,0,1
S00089256,4,9,3,6,10,3,2,3,0,1,4,1,0,0,0
S00089257,2,13,4,7,8,2,3,2,0,1,1,0,0,0,0
S00089258,2,16,2,5,6,4,6,0,0,1,0,0,3,0,5
S00089259,2,16,1,0,5,2,9,1,0,1,3,1,0,0,1
S00089260,2,11,4,11,11,3,5,5,0,0,0,1,0,0,2
S00089261,4,27,0,5,15,3,5,5,0,0,3,3,0,0,5
S00089262,15,28,2,7,2,0,7,0,0,1,1,0,1,0,5
S00089263,3,42,0,4,1,0,9,2,0,0,0,0,0,0,5
S00089264,8,29,2,10,7,3,11,1,0,0,2,0,1,0,3
S00089265,2,32,0,2,2,0,11,0,0,3,0,0,4,0,0
S00089266,2,34,1,2,6,1,7,3,0,0,1,0,0,0,2
S00089267,1,29,1,3,0,0,12,0,0,0,0,0,4,0,3
S00089268,0,43,0,3,8,0,13,2,0,0,0,0,1,0,1
S00089269,6,29,0,2,4,1,9,4,0,1,3,0,0,0,3
S00089270,8,41,2,6,4,1,12,2,0,1,0,0,0,0,3
S00089271,5,8,0,4,9,4,2,2,0,1,2,0,0,0,1
S00089272,0,4,3,2,8,1,3,0,0,0,0,1,0,0,4
S00089273,2,33,1,6,3,0,8,0,0,2,1,1,2,0,3
S00089274,4,23,0,5,8,2,11,1,1,0,2,1,1,0,5
S00089275,41,1,8,2,0,0,0,0,0,0,1,0,0,0,0
S00089276,1,28,1,4,1,0,4,0,0,0,0,1,0,0,1
S00089277,4,11,10,8,15,7,4,2,0,2,5,0,1,0,3
S00089278,38,2,11,0,0,0,0,0,0,0,0,0,0,1,1
S00089279,2,11,0,6,7,1,2,0,0,0,1,0,0,0,0
S00089280,3,5,2,5,5,1,1,2,0,1,1,0,0,0,1
S00089281,3,16,0,3,3,0,6,0,1,0,1,1,3,1,3
S00089282,3,3,0,7,8,2,1,1,0,2,0,0,0,0,0
S00089283,5,10,1,5,2,1,3,1,0,2,0,0,0,0,1
S00089284,8,7,10,10,3,3,3,2,1,0,3,0,0,0,1
S00089285,5,36,2,10,4,3,9,0,0,1,2,0,2,1,4
S00089286,3,38,0,2,1,0,7,1,0,2,1,1,5,0,7
S00089287,39,16,11,3,0,0,0,0,0,0,1,0,0,1,0
S00089288,7,10,7,3,6,2,0,1,0,5,4,0,2,0,1
S00089289,7,3,5,3,5,7,1,7,0,1,4,2,0,1,1
S00089290,7,5,2,7,3,0,2,3,0,0,0,0,0,0,2
S00089291,9,4,5,4,9,2,1,2,0,1,2,0,0,0,2
S00089292,11,4,6,4,6,1,3,0,0,0,3,1,2,0,1
S00089293,10,23,0,7,5,2,4,7,0,6,4,1,6,0,2
S00089294,2,12,2,10,9,1,6,1,0,5,1,1,10,0,7
S00089295,10,6,3,10,8,10,1,5,0,10,5,1,1,0,2
S00089296,8,7,7,5,6,8,4,3,0,2,6,3,3,1,3
S00089297,8,17,2,2,3,2,0,3,1,4,3,0,0,0,5
S00089298,9,9,2,4,3,5,3,0,0,2,1,0,2,1,7
S00089299,24,5,0,2,3,1,1,0,0,1,2,0,0,0,0
S00089300,5,5,6,4,4,4,1,1,0,4,2,0,2,0,3
S00089301,7,7,8,4,6,2,2,4,0,2,1,1,0,1,2
S00089302,7,1,5,6,4,4,1,2,0,2,4,1,2,0,2
S00089303,9,9,2,11,7,4,5,0,0,4,7,2,6,0,6
S00089304,9,5,6,4,10,8,1,3,1,4,5,1,4,0,1
S00089305,18,8,1,5,2,2,0,0,0,1,2,0,0,1,2
S00089306,22,8,8,4,1,3,3,2,1,3,3,1,5,0,4
S00089307,10,26,2,1,5,1,2,0,1,4,1,0,2,0,0
S00089308,1,4,2,3,5,3,1,1,0,6,0,1,0,0,0
S00089309,8,4,3,2,10,6,2,0,0,2,6,4,2,0,2
