oa_code,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,other_religion,no_religion,religion_not_stated
S00089235,12,13,7,1,6,0,4,0,0,49,12
S00089236,12,9,8,1,1,0,1,0,0,46,3
S00089237,40,11,10,0,0,0,0,0,1,50,5
S00089238,49,5,14,0,0,0,0,0,1,64,2
S00089239,21,15,7,0,0,0,0,0,0,44,11
S00089240,59,11,11,0,0,0,0,0,0,72,26
S00089241,24,5,6,0,0,0,0,0,1,28,1
S00089242,45,11,10,0,0,0,1,0,0,49,7
S00089243,48,10,3,0,0,0,0,0,0,41,13
S00089244,40,4,8,0,0,0,0,0,1,53,11
S00089245,45,0,1,0,0,0,0,0,0,38,0
S00089246,38,9,1,0,0,0,0,0,0,38,9
S00089247,67,2,6,0,0,0,5,0,1,73,12
S00089248,60,11,16,0,2,1,4,0,0,106,5
S00089249,27,13,7,0,0,0,0,0,0,49,9
S00089250,28,13,9,0,0,0,1,0,0,35,2
S00089251,28,8,11,0,2,0,0,0,0,49,8
S00089252,37,5,11,0,0,0,0,0,0,55,10
S00089253,41,9,13,0,0,0,0,0,0,52,14
S00089254,54,5,5,0,0,0,5,0,0,53,15
S00089255,33,10,3,0,0,0,1,0,0,60,12
S00089256,38,8,3,0,4,0,0,0,0,42,14
S00089257,46,1,6,0,0,0,1,0,0,40,3
S00089258,29,12,1,3,0,0,4,0,1,39,11
S00089259,19,13,2,0,3,0,0,0,1,40,6
S00089260,47,14,5,1,0,0,1,0,4,60,4
S00089261,15,6,19,0,3,0,0,0,4,94,17
S00089262,27,7,6,1,1,0,2,0,1,55,8
S00089263,16,11,4,1,2,0,6,0,3,44,5
S00089264,36,19,7,0,4,0,5,0,1,59,8
S00089265,13,4,4,1,1,0,0,0,0,55,6
S00089266,28,4,7,2,1,0,3,0,0,51,4
S00089267,13,9,5,0,0,0,0,0,2,43,7
S00089268,12,15,3,1,1,0,11,0,0,61,9
S00089269,18,14,7,0,0,0,0,0,0,48,14
S00089270,31,10,9,0,0,0,0,0,0,64,6
S00089271,28,10,5,2,1,0,0,0,0,31,13
S00089272,29,8,2,0,0,0,1,0,0,24,5
S00089273,17,16,1,0,1,0,4,1,2,50,9
S00089274,31,16,9,2,0,0,2,0,1,61,7
S00089275,35,1,5,0,0,0,0,0,0,16,7
S00089276,8,7,4,1,0,0,2,0,1,28,8
S00089277,69,2,10,0,0,0,0,0,0,85,11
S00089278,48,1,2,0,0,0,0,0,1,10,4
S00089279,28,9,5,0,0,1,0,0,0,19,5
S00089280,19,4,4,0,0,0,0,0,0,32,0
S00089281,14,2,5,0,0,0,0,0,0,49,5
S00089282,19,5,3,0,0,0,0,0,0,36,6
S00089283,16,10,3,0,1,0,0,0,0,19,5
S00089284,50,8,3,0,0,0,0,0,0,40,4
S00089285,37,23,8,1,0,0,5,0,0,42,12
S00089286,15,11,6,1,3,0,6,0,0,54,10
S00089287,61,4,4,0,0,0,0,0,0,17,1
S00089288,41,15,12,1,5,0,5,0,0,59,13
S00089289,22,9,8,0,0,0,0,0,0,75,10
S00089290,13,6,2,0,0,0,0,0,0,45,3
S00089291,32,6,8,0,0,0,0,0,0,44,9
S00089292,29,10,1,0,2,0,0,0,0,47,1
S00089293,22,7,9,1,4,0,6,0,1,85,18
S00089294,20,22,12,1,5,0,0,0,2,72,14
S00089295,50,10,6,0,0,0,0,0,0,109,15
S00089296,52,7,3,0,0,0,2,0,1,78,18
S00089297,34,5,2,0,0,0,0,0,1,48,3
S00089298,24,12,7,0,0,0,0,0,1,49,5
S00089299,22,3,3,0,0,0,0,0,1,34,1
S00089300,31,7,5,1,0,0,4,0,0,47,4
S00089301,24,9,1,0,0,0,8,0,0,67,7
S00089302,15,12,7,0,0,0,0,0,1,63,6
S00089303,54,8,11,0,1,0,9,0,0,79,5
S00089304,34,7,9,0,4,0,4,0,1,86,14
S00089305,29,3,5,0,0,0,1,0,0,28,5
S00089306,44,12,8,0,0,0,1,0,0,67,9
S00089307,16,7,1,0,0,0,6,0,0,55,3
S00089308,16,6,6,0,0,0,0,0,0,43,6
S00089309,34,17,3,0,0,0,1,0,0,85,8
S00089310,30,28,7,0,1,0,1,0,2,84,18
S00089311,29,11,2,0,2,0,0,0,0,50,7
S00089312,63,7,9,0,6,0,0,0,0,72,7
S00089313,62,8,10,0,0,0,0,0,2,54,14
S00089314,28,19,14,0,3,0,2,0,1,57,1
S00089315,38,1,3,0,0,0,0,0,0,57,9
S00089316,40,8,5,0,0,0,7,0,0,44,2
S00089317,41,5,6,1,2,0,0,0,0,37,2
S00089318,31,7,4,1,6,0,9,1,0,44,4
S00089319,55,5,5,0,0,0,0,0,1,51,17
S00089320,49,10,5,0,0,0,0,0,0,39,22
S00089321,30,12,6,0,4,0,0,0,1,30,2
S00089322,64,2,13,0,0,0,0,0,2,39,4
S00089323,33,6,3,0,0,0,1,0,0,35,5
S00089324,44,5,10,0,0,0,0,0,0,33,2
S00089325,40,6,9,4,0,0,0,0,2,35,6
S00089326,37,4,4,0,2,0,9,0,0,58,16
S00089327,49,9,7,0,0,0,0,0,1,38,4
S00089328,70,3,6,0,0,0,1,0,0,30,1
S00089329,52,1,8,0,0,0,1,0,0,25,8
S00089330,64,10,4,0,0,0,4,0,0,57,12
S00089331,73,5,16,1,0,0,1,0,0,65,7
S00089332,72,4,14,0,0,0,0,0,0,74,8
S00089333,66,6,9,0,0,0,0,0,0,88,7
S00089334,72,4,2,0,4,0,2,0,0,47,19
S00089335,45,13,4,0,0,0,0,0,0,74,8
S00089336,36,1,1,0,7,0,0,0,0,38,10
S00089337,28,0,0,0,2,0,3,0,0,20,4
S00089338,83,3,11,0,4,0,0,0,0,44,11
S00089339,72,4,8,1,0,0,1,0,1,53,10
S00089340,57,10,10,0,0,0,0,0,0,43,5
S00089341,32,1,0,0,0,0,0,0,0,33,11
S00089342,45,1,6,0,0,0,0,0,0,14,9
S00089343,18,5,0,0,4,0,5,0,0,30,9
S00089344,28,4,1,0,0,0,0,0,1,29,7
S00089345,27,20,9,0,0,0,0,0,0,35,7
S00089346,60,2,12,0,0,0,1,0,1,52,17
S00089347,69,4,3,0,0,0,0,0,0,30,2
S00089348,42,7,8,0,0,0,0,0,0,27,8
S00089349,48,5,5,0,0,1,0,0,0,35,3
