oa_code	african_carribbean_black	asian	mixed	other	white
S00089653	2	22	1	20	182
S00089654	2	20	1	0	182
S00089655	2	6	4	0	152
S00089656	2	30	2	10	124
S00089657	0	12	0	12	122
S00089658	10	16	0	2	214
S00089659	16	30	1	0	388
S00089660	12	28	2	0	214
S00089661	14	26	0	4	208
S00089662	10	6	5	0	164
S00089663	24	24	0	2	184
S00089664	0	6	0	0	130
S00089665	0	24	1	0	178
S00089666	4	18	1	2	154
S00089667	4	8	0	2	106
S00089668	14	0	0	2	162
S00089669	8	42	4	2	208
S00089670	26	22	1	0	98
S00089671	12	50	7	2	554
S00089672	4	10	0	0	218
S00089673	4	8	0	0	188
S00089674	14	36	1	0	224
S00089675	28	34	0	2	208
S00089676	6	16	0	2	116
S00089677	16	10	0	0	214
S00089678	18	8	0	10	102
S00089679	10	38	2	0	224
S00089680	8	34	2	6	184
S00089681	22	14	1	2	250
S00089682	14	4	2	2	104
S00089683	0	0	0	0	156
S00089684	6	4	3	0	138
S00089685	14	34	1	0	190
S00089686	0	2	1	0	122
S00089687	12	32	1	0	114
S00089688	24	4	1	0	168
S00089689	0	2	1	0	112
S00089690	0	16	0	0	286
S00089691	0	16	1	0	252
S00089692	2	0	0	0	116
S00089693	0	6	0	4	120
S00089694	6	30	5	10	176
S00089695	4	18	1	0	212
S00089696	4	22	2	2	244
S00089697	22	16	0	0	134
S00089698	8	8	0	0	190
S00089699	16	8	0	2	122
S00089700	16	8	0	0	216
S00089701	0	0	2	0	166
S00089702	2	14	0	4	126
S00089703	0	8	0	0	282
S00089704	4	2	0	0	224
S00089705	0	4	0	0	220
S00089706	18	18	4	10	218
S00089707	0	0	0	0	194
S00089708	2	2	1	0	108
S00089709	18	0	0	0	168
S00089710	2	38	0	2	222
S00089711	0	18	0	0	260
S00089712	0	10	4	0	208
S00089713	0	12	0	0	198
S00089714	20	6	0	0	282
S00089715	16	2	0	0	188
S00089716	0	0	0	0	256
S00089717	0	6	1	16	232
S00089718	12	18	9	0	288
S00089719	6	12	3	10	344
S00089720	8	10	0	10	306
S00089721	10	110	0	10	228
S00089722	0	10	0	4	176
S00089723	0	16	0	0	100
S00089724	0	8	0	10	154
S00089725	0	10	0	0	182
S00089726	4	14	1	0	222
S00089727	2	10	1	0	186
S00089728	0	14	1	0	168
S00089729	0	6	0	0	290
S00089730	0	10	1	0	144
S00089731	0	0	0	8	218
S00089732	6	0	0	6	304
S00089733	4	22	0	0	174
S00089734	0	0	0	0	188
S00089735	0	12	0	0	138
S00089736	0	2	4	0	158
S00089737	2	24	0	0	146
S00089738	0	10	1	0	130
S00089739	0	0	0	0	182
S00089740	20	10	0	0	218
S00089741	6	0	0	6	206
S00089742	0	12	1	0	330
S00089743	0	4	1	0	322
S00089744	2	4	0	0	156
S00089745	0	4	2	0	252
S00089746	0	8	1	30	202
S00089747	6	0	0	0	194
S00089748	6	2	3	0	216
S00089749	8	0	0	0	116
S00089750	6	14	1	0	184
S00089751	0	0	0	2	218
S00089752	0	0	0	0	216
S00089753	0	12	0	0	260
S00089754	0	6	4	2	232
S00089755	0	4	1	0	124
S00089756	10	2	0	0	142
S00089757	18	46	0	0	180
S00089758	8	18	3	0	192
S00089759	0	42	1	0	300
S00089760	8	14	0	0	138
S00089761	2	12	0	0	104
S00089762	24	18	2	0	192
S00089763	6	4	2	0	202
S00089764	2	4	0	0	256
S00089765	2	2	0	0	278
S00089766	0	18	0	0	190
S00089767	0	20	0	0	108
S00089768	8	10	1	0	104
S00089769	0	0	1	2	110
S00089770	4	12	0	0	188
S00089771	2	22	4	0	156
S00089772	6	24	0	0	156
S00089773	10	26	2	2	174
S00089774	6	18	1	10	128
S00089775	0	24	0	2	120
S00089776	6	10	0	2	170
S00089777	8	16	2	2	152
S00089778	8	14	1	10	244
S00089779	0	6	1	4	172
S00089780	16	0	1	0	122
S00089781	4	10	1	0	162
S00089782	4	16	0	0	122
S00089783	0	2	0	0	156
S00089784	4	12	0	0	102
S00089785	6	74	0	18	208
S00089786	2	46	2	0	152
S00089787	4	4	0	0	154
S00089788	4	14	0	0	118
S00089789	8	30	0	6	186
S00089790	18	46	0	4	496
